team,score,frequency
MIN,30,0.049586776859504134
MIN,13,0.03856749311294766
MIN,21,0.024793388429752067
MIN,31,0.05234159779614325
MIN,28,0.05509641873278237
MIN,20,0.07713498622589532
MIN,27,0.06336088154269973
MIN,24,0.07988980716253444
MIN,29,0.01652892561983471
MIN,10,0.0440771349862259
MIN,15,0.008264462809917356
MIN,35,0.01928374655647383
MIN,14,0.030303030303030304
MIN,17,0.049586776859504134
MIN,6,0.011019283746556474
MIN,16,0.03305785123966942
MIN,42,0.008264462809917356
MIN,3,0.027548209366391185
MIN,23,0.049586776859504134
MIN,39,0.011019283746556474
MIN,7,0.03305785123966942
MIN,25,0.011019283746556474
MIN,22,0.011019283746556474
MIN,32,0.005509641873278237
MIN,18,0.005509641873278237
MIN,34,0.049586776859504134
MIN,45,0.0027548209366391185
MIN,38,0.01928374655647383
MIN,8,0.0027548209366391185
MIN,33,0.02203856749311295
MIN,19,0.01928374655647383
MIN,12,0.005509641873278237
MIN,26,0.02203856749311295
MIN,0,0.0027548209366391185
MIN,41,0.011019283746556474
MIN,36,0.008264462809917356
MIN,9,0.008264462809917356
MIN,48,0.0027548209366391185
MIN,49,0.0027548209366391185
MIN,37,0.0027548209366391185
MIN,11,0.0027548209366391185
CHI,27,0.07162534435261708
CHI,0,0.008264462809917356
CHI,7,0.04132231404958678
CHI,14,0.05785123966942149
CHI,10,0.05785123966942149
CHI,16,0.0440771349862259
CHI,9,0.013774104683195593
CHI,3,0.027548209366391185
CHI,13,0.06336088154269973
CHI,6,0.013774104683195593
CHI,24,0.05785123966942149
CHI,17,0.06611570247933884
CHI,31,0.02203856749311295
CHI,20,0.0743801652892562
CHI,37,0.01652892561983471
CHI,12,0.011019283746556474
CHI,23,0.05509641873278237
CHI,21,0.03581267217630854
CHI,30,0.024793388429752067
CHI,19,0.030303030303030304
CHI,28,0.027548209366391185
CHI,22,0.01928374655647383
CHI,5,0.0027548209366391185
CHI,38,0.011019283746556474
CHI,26,0.013774104683195593
CHI,34,0.01928374655647383
CHI,40,0.011019283746556474
CHI,41,0.01652892561983471
CHI,42,0.0027548209366391185
CHI,35,0.0027548209366391185
CHI,29,0.008264462809917356
CHI,48,0.008264462809917356
CHI,15,0.011019283746556474
CHI,25,0.013774104683195593
CHI,36,0.005509641873278237
CHI,39,0.0027548209366391185
CHI,51,0.0027548209366391185
CHI,32,0.005509641873278237
CHI,18,0.005509641873278237
CHI,45,0.0027548209366391185
CHI,11,0.005509641873278237
CHI,33,0.008264462809917356
IND,27,0.0743801652892562
IND,31,0.06611570247933884
IND,43,0.005509641873278237
IND,18,0.01928374655647383
IND,16,0.027548209366391185
IND,37,0.008264462809917356
IND,30,0.03305785123966942
IND,24,0.06611570247933884
IND,23,0.06060606060606061
IND,14,0.024793388429752067
IND,17,0.06336088154269973
IND,44,0.011019283746556474
IND,20,0.05509641873278237
IND,45,0.01652892561983471
IND,42,0.008264462809917356
IND,13,0.02203856749311295
IND,35,0.03856749311294766
IND,21,0.03305785123966942
IND,6,0.0027548209366391185
IND,41,0.02203856749311295
IND,28,0.03305785123966942
IND,22,0.01652892561983471
IND,10,0.03581267217630854
IND,15,0.008264462809917356
IND,19,0.027548209366391185
IND,9,0.011019283746556474
IND,33,0.013774104683195593
IND,55,0.0027548209366391185
IND,38,0.027548209366391185
IND,34,0.04132231404958678
IND,29,0.011019283746556474
IND,49,0.005509641873278237
IND,51,0.0027548209366391185
IND,40,0.005509641873278237
IND,26,0.02203856749311295
IND,36,0.008264462809917356
IND,7,0.02203856749311295
IND,3,0.008264462809917356
IND,39,0.0027548209366391185
IND,8,0.0027548209366391185
IND,11,0.0027548209366391185
IND,25,0.01652892561983471
IND,0,0.008264462809917356
IND,12,0.005509641873278237
KC,14,0.024793388429752067
KC,42,0.02203856749311295
KC,23,0.03305785123966942
KC,24,0.06336088154269973
KC,17,0.08264462809917356
KC,54,0.0027548209366391185
KC,31,0.05509641873278237
KC,7,0.024793388429752067
KC,16,0.024793388429752067
KC,15,0.0027548209366391185
KC,20,0.05785123966942149
KC,3,0.01928374655647383
KC,45,0.02203856749311295
KC,6,0.011019283746556474
KC,28,0.03305785123966942
KC,25,0.005509641873278237
KC,19,0.027548209366391185
KC,10,0.06060606060606061
KC,26,0.03581267217630854
KC,30,0.04132231404958678
KC,40,0.01652892561983471
KC,38,0.013774104683195593
KC,48,0.005509641873278237
KC,29,0.01928374655647383
KC,34,0.03856749311294766
KC,13,0.030303030303030304
KC,32,0.011019283746556474
KC,49,0.008264462809917356
KC,27,0.06336088154269973
KC,41,0.01928374655647383
KC,21,0.01928374655647383
KC,56,0.005509641873278237
KC,35,0.011019283746556474
KC,9,0.01652892561983471
KC,12,0.008264462809917356
KC,22,0.011019283746556474
KC,11,0.0027548209366391185
KC,8,0.0027548209366391185
KC,33,0.02203856749311295
KC,0,0.008264462809917356
KC,37,0.0027548209366391185
KC,51,0.0027548209366391185
KC,43,0.0027548209366391185
KC,36,0.0027548209366391185
KC,44,0.005509641873278237
WAS,20,0.09641873278236915
WAS,10,0.05509641873278237
WAS,21,0.03305785123966942
WAS,16,0.06611570247933884
WAS,17,0.09917355371900827
WAS,35,0.02203856749311295
WAS,15,0.02203856749311295
WAS,33,0.005509641873278237
WAS,7,0.03581267217630854
WAS,13,0.05234159779614325
WAS,3,0.01652892561983471
WAS,0,0.01928374655647383
WAS,9,0.02203856749311295
WAS,27,0.06336088154269973
WAS,14,0.04132231404958678
WAS,6,0.01928374655647383
WAS,40,0.005509641873278237
WAS,31,0.03856749311294766
WAS,26,0.030303030303030304
WAS,25,0.013774104683195593
WAS,23,0.046831955922865015
WAS,24,0.03856749311294766
WAS,18,0.0027548209366391185
WAS,19,0.03305785123966942
WAS,52,0.0027548209366391185
WAS,36,0.0027548209366391185
WAS,22,0.01652892561983471
WAS,34,0.011019283746556474
WAS,32,0.005509641873278237
WAS,29,0.011019283746556474
WAS,30,0.013774104683195593
WAS,12,0.011019283746556474
WAS,28,0.013774104683195593
WAS,11,0.0027548209366391185
WAS,38,0.011019283746556474
WAS,45,0.0027548209366391185
WAS,41,0.008264462809917356
WAS,47,0.0027548209366391185
WAS,42,0.0027548209366391185
WAS,8,0.0027548209366391185
CAR,17,0.05785123966942149
CAR,38,0.024793388429752067
CAR,10,0.06887052341597796
CAR,13,0.05785123966942149
CAR,26,0.01652892561983471
CAR,6,0.03581267217630854
CAR,34,0.02203856749311295
CAR,12,0.011019283746556474
CAR,27,0.05509641873278237
CAR,31,0.03856749311294766
CAR,16,0.0440771349862259
CAR,14,0.046831955922865015
CAR,30,0.03581267217630854
CAR,24,0.06060606060606061
CAR,7,0.03305785123966942
CAR,25,0.008264462809917356
CAR,22,0.011019283746556474
CAR,23,0.0440771349862259
CAR,32,0.011019283746556474
CAR,21,0.05785123966942149
CAR,0,0.008264462809917356
CAR,9,0.01652892561983471
CAR,52,0.0027548209366391185
CAR,19,0.01928374655647383
CAR,20,0.05785123966942149
CAR,28,0.027548209366391185
CAR,8,0.0027548209366391185
CAR,37,0.01928374655647383
CAR,35,0.01652892561983471
CAR,3,0.027548209366391185
CAR,15,0.008264462809917356
CAR,41,0.008264462809917356
CAR,18,0.008264462809917356
CAR,29,0.005509641873278237
CAR,33,0.013774104683195593
CAR,48,0.0027548209366391185
CAR,44,0.0027548209366391185
CAR,46,0.0027548209366391185
CAR,45,0.0027548209366391185
CAR,36,0.0027548209366391185
CAR,42,0.0027548209366391185
ATL,36,0.011019283746556474
ATL,14,0.03856749311294766
ATL,15,0.013774104683195593
ATL,20,0.06611570247933884
ATL,10,0.06060606060606061
ATL,6,0.02203856749311295
ATL,29,0.01928374655647383
ATL,19,0.01928374655647383
ATL,13,0.05234159779614325
ATL,7,0.024793388429752067
ATL,24,0.06887052341597796
ATL,34,0.046831955922865015
ATL,3,0.02203856749311295
ATL,31,0.03856749311294766
ATL,23,0.046831955922865015
ATL,27,0.06611570247933884
ATL,33,0.011019283746556474
ATL,30,0.03581267217630854
ATL,17,0.046831955922865015
ATL,37,0.013774104683195593
ATL,41,0.01652892561983471
ATL,26,0.01928374655647383
ATL,0,0.011019283746556474
ATL,16,0.03856749311294766
ATL,21,0.027548209366391185
ATL,35,0.008264462809917356
ATL,18,0.008264462809917356
ATL,28,0.027548209366391185
ATL,25,0.024793388429752067
ATL,32,0.005509641873278237
ATL,9,0.01652892561983471
ATL,38,0.008264462809917356
ATL,22,0.011019283746556474
ATL,45,0.008264462809917356
ATL,39,0.008264462809917356
ATL,12,0.008264462809917356
ATL,40,0.011019283746556474
ATL,56,0.0027548209366391185
ATL,48,0.005509641873278237
ATL,43,0.005509641873278237
ATL,42,0.0027548209366391185
SF,28,0.030303030303030304
SF,22,0.02203856749311295
SF,24,0.0743801652892562
SF,41,0.011019283746556474
SF,27,0.06060606060606061
SF,16,0.03305785123966942
SF,15,0.01928374655647383
SF,21,0.027548209366391185
SF,45,0.008264462809917356
SF,17,0.0881542699724518
SF,26,0.02203856749311295
SF,19,0.030303030303030304
SF,37,0.01928374655647383
SF,31,0.05234159779614325
SF,25,0.013774104683195593
SF,40,0.005509641873278237
SF,35,0.01928374655647383
SF,14,0.03305785123966942
SF,13,0.049586776859504134
SF,20,0.05785123966942149
SF,38,0.008264462809917356
SF,23,0.03305785123966942
SF,49,0.0027548209366391185
SF,12,0.0027548209366391185
SF,7,0.02203856749311295
SF,30,0.024793388429752067
SF,10,0.049586776859504134
SF,6,0.01928374655647383
SF,50,0.0027548209366391185
SF,0,0.011019283746556474
SF,3,0.030303030303030304
SF,9,0.027548209366391185
SF,34,0.024793388429752067
SF,33,0.01928374655647383
SF,48,0.005509641873278237
SF,32,0.005509641873278237
SF,42,0.008264462809917356
SF,18,0.011019283746556474
SF,39,0.0027548209366391185
SF,44,0.0027548209366391185
SF,51,0.0027548209366391185
SF,36,0.005509641873278237
JAC,27,0.03581267217630854
JAC,36,0.011019283746556474
JAC,13,0.05785123966942149
JAC,14,0.05785123966942149
JAC,10,0.06887052341597796
JAC,16,0.03856749311294766
JAC,23,0.05509641873278237
JAC,21,0.046831955922865015
JAC,34,0.008264462809917356
JAC,48,0.0027548209366391185
JAC,44,0.008264462809917356
JAC,15,0.013774104683195593
JAC,17,0.0881542699724518
JAC,24,0.06060606060606061
JAC,30,0.024793388429752067
JAC,7,0.03305785123966942
JAC,33,0.005509641873278237
JAC,26,0.024793388429752067
JAC,25,0.02203856749311295
JAC,28,0.01652892561983471
JAC,19,0.027548209366391185
JAC,20,0.05509641873278237
JAC,29,0.01652892561983471
JAC,3,0.03581267217630854
JAC,22,0.01652892561983471
JAC,6,0.01652892561983471
JAC,0,0.008264462809917356
JAC,31,0.03305785123966942
JAC,18,0.011019283746556474
JAC,38,0.013774104683195593
JAC,9,0.01928374655647383
JAC,41,0.005509641873278237
JAC,37,0.01652892561983471
JAC,49,0.0027548209366391185
JAC,12,0.01928374655647383
JAC,35,0.0027548209366391185
JAC,2,0.0027548209366391185
JAC,32,0.0027548209366391185
JAC,39,0.0027548209366391185
JAC,51,0.0027548209366391185
JAC,45,0.0027548209366391185
JAC,11,0.0027548209366391185
JAC,40,0.0027548209366391185
CLE,7,0.0521978021978022
CLE,24,0.054945054945054944
CLE,23,0.038461538461538464
CLE,10,0.08241758241758242
CLE,0,0.03021978021978022
CLE,21,0.03571428571428571
CLE,3,0.03296703296703297
CLE,19,0.013736263736263736
CLE,6,0.04945054945054945
CLE,20,0.09065934065934066
CLE,14,0.0521978021978022
CLE,12,0.024725274725274724
CLE,27,0.046703296703296704
CLE,18,0.01098901098901099
CLE,15,0.013736263736263736
CLE,16,0.019230769230769232
CLE,41,0.016483516483516484
CLE,39,0.005494505494505495
CLE,31,0.02197802197802198
CLE,13,0.07142857142857142
CLE,34,0.013736263736263736
CLE,33,0.013736263736263736
CLE,44,0.0027472527472527475
CLE,17,0.0521978021978022
CLE,48,0.0027472527472527475
CLE,26,0.024725274725274724
CLE,22,0.013736263736263736
CLE,9,0.013736263736263736
CLE,25,0.0027472527472527475
CLE,51,0.0027472527472527475
CLE,28,0.02197802197802198
CLE,8,0.0027472527472527475
CLE,35,0.008241758241758242
CLE,11,0.005494505494505495
CLE,30,0.01098901098901099
CLE,29,0.01098901098901099
CLE,37,0.01098901098901099
CLE,42,0.008241758241758242
CLE,40,0.0027472527472527475
CLE,49,0.0027472527472527475
CLE,32,0.005494505494505495
CLE,36,0.0027472527472527475
TB,21,0.04132231404958678
TB,41,0.011019283746556474
TB,31,0.03856749311294766
TB,17,0.07162534435261708
TB,23,0.049586776859504134
TB,14,0.06060606060606061
TB,27,0.049586776859504134
TB,20,0.08264462809917356
TB,10,0.049586776859504134
TB,16,0.03305785123966942
TB,38,0.03856749311294766
TB,28,0.027548209366391185
TB,24,0.06336088154269973
TB,15,0.008264462809917356
TB,3,0.03305785123966942
TB,48,0.008264462809917356
TB,22,0.013774104683195593
TB,25,0.008264462809917356
TB,26,0.02203856749311295
TB,35,0.01652892561983471
TB,12,0.013774104683195593
TB,34,0.02203856749311295
TB,7,0.01928374655647383
TB,9,0.011019283746556474
TB,13,0.03856749311294766
TB,19,0.03856749311294766
TB,6,0.01928374655647383
TB,36,0.008264462809917356
TB,30,0.027548209366391185
TB,0,0.013774104683195593
TB,37,0.005509641873278237
TB,18,0.013774104683195593
TB,42,0.0027548209366391185
TB,45,0.008264462809917356
TB,32,0.005509641873278237
TB,29,0.008264462809917356
TB,33,0.005509641873278237
TB,55,0.0027548209366391185
TB,46,0.0027548209366391185
TB,47,0.0027548209366391185
TB,11,0.0027548209366391185
NE,16,0.027548209366391185
NE,19,0.013774104683195593
NE,13,0.024793388429752067
NE,3,0.011019283746556474
NE,28,0.024793388429752067
NE,24,0.05234159779614325
NE,17,0.07162534435261708
NE,23,0.05785123966942149
NE,11,0.0027548209366391185
NE,9,0.011019283746556474
NE,30,0.05234159779614325
NE,44,0.005509641873278237
NE,10,0.027548209366391185
NE,29,0.01652892561983471
NE,38,0.0440771349862259
NE,20,0.06611570247933884
NE,21,0.03305785123966942
NE,34,0.04132231404958678
NE,27,0.06887052341597796
NE,12,0.013774104683195593
NE,41,0.024793388429752067
NE,14,0.01928374655647383
NE,33,0.02203856749311295
NE,7,0.011019283746556474
NE,0,0.013774104683195593
NE,31,0.0440771349862259
NE,40,0.008264462809917356
NE,42,0.008264462809917356
NE,35,0.024793388429752067
NE,48,0.005509641873278237
NE,49,0.008264462809917356
NE,52,0.005509641873278237
NE,56,0.0027548209366391185
NE,15,0.005509641873278237
NE,47,0.0027548209366391185
NE,25,0.013774104683195593
NE,26,0.01652892561983471
NE,59,0.005509641873278237
NE,39,0.0027548209366391185
NE,45,0.013774104683195593
NE,36,0.01652892561983471
NE,37,0.011019283746556474
NE,18,0.005509641873278237
NE,6,0.008264462809917356
NE,55,0.0027548209366391185
NE,43,0.011019283746556474
NE,51,0.005509641873278237
NE,22,0.008264462809917356
NE,54,0.0027548209366391185
NE,50,0.0027548209366391185
BAL,16,0.05509641873278237
BAL,39,0.005509641873278237
BAL,6,0.01928374655647383
BAL,37,0.027548209366391185
BAL,12,0.005509641873278237
BAL,15,0.011019283746556474
BAL,3,0.01928374655647383
BAL,27,0.06060606060606061
BAL,24,0.06611570247933884
BAL,44,0.013774104683195593
BAL,13,0.0440771349862259
BAL,17,0.0440771349862259
BAL,10,0.0440771349862259
BAL,20,0.08264462809917356
BAL,26,0.03856749311294766
BAL,23,0.05785123966942149
BAL,14,0.024793388429752067
BAL,18,0.013774104683195593
BAL,21,0.024793388429752067
BAL,7,0.030303030303030304
BAL,0,0.0027548209366391185
BAL,34,0.030303030303030304
BAL,38,0.02203856749311295
BAL,25,0.013774104683195593
BAL,33,0.02203856749311295
BAL,22,0.013774104683195593
BAL,31,0.03856749311294766
BAL,35,0.008264462809917356
BAL,30,0.03581267217630854
BAL,19,0.024793388429752067
BAL,9,0.01652892561983471
BAL,29,0.01652892561983471
BAL,48,0.008264462809917356
BAL,28,0.01928374655647383
BAL,41,0.005509641873278237
BAL,36,0.005509641873278237
BAL,55,0.0027548209366391185
BAL,40,0.005509641873278237
BAL,47,0.005509641873278237
BAL,59,0.0027548209366391185
BAL,49,0.0027548209366391185
BAL,45,0.0027548209366391185
BAL,42,0.0027548209366391185
BAL,56,0.0027548209366391185
PIT,0,0.011019283746556474
PIT,20,0.0881542699724518
PIT,24,0.08264462809917356
PIT,15,0.01652892561983471
PIT,22,0.005509641873278237
PIT,9,0.008264462809917356
PIT,7,0.01652892561983471
PIT,23,0.06336088154269973
PIT,48,0.0027548209366391185
PIT,21,0.024793388429752067
PIT,10,0.05234159779614325
PIT,3,0.01652892561983471
PIT,16,0.03305785123966942
PIT,17,0.06060606060606061
PIT,34,0.03581267217630854
PIT,18,0.011019283746556474
PIT,26,0.03305785123966942
PIT,47,0.0027548209366391185
PIT,14,0.03856749311294766
PIT,29,0.011019283746556474
PIT,28,0.0440771349862259
PIT,31,0.02203856749311295
PIT,25,0.008264462809917356
PIT,6,0.013774104683195593
PIT,30,0.030303030303030304
PIT,13,0.049586776859504134
PIT,27,0.06336088154269973
PIT,40,0.005509641873278237
PIT,19,0.027548209366391185
PIT,33,0.011019283746556474
PIT,41,0.008264462809917356
PIT,45,0.005509641873278237
PIT,38,0.03581267217630854
PIT,37,0.01928374655647383
PIT,11,0.0027548209366391185
PIT,12,0.005509641873278237
PIT,35,0.005509641873278237
PIT,32,0.005509641873278237
PIT,51,0.0027548209366391185
PIT,43,0.008264462809917356
PIT,42,0.0027548209366391185
PIT,39,0.0027548209366391185
PIT,52,0.0027548209366391185
PIT,36,0.0027548209366391185
DET,14,0.05234159779614325
DET,15,0.01652892561983471
DET,10,0.05234159779614325
DET,21,0.046831955922865015
DET,24,0.05785123966942149
DET,31,0.03856749311294766
DET,28,0.01928374655647383
DET,18,0.011019283746556474
DET,8,0.0027548209366391185
DET,13,0.06060606060606061
DET,34,0.03305785123966942
DET,17,0.06336088154269973
DET,6,0.027548209366391185
DET,0,0.013774104683195593
DET,26,0.03305785123966942
DET,27,0.046831955922865015
DET,38,0.013774104683195593
DET,12,0.01652892561983471
DET,7,0.03581267217630854
DET,23,0.027548209366391185
DET,9,0.01928374655647383
DET,20,0.07988980716253444
DET,42,0.008264462809917356
DET,16,0.04132231404958678
DET,22,0.01928374655647383
DET,19,0.027548209366391185
DET,35,0.013774104683195593
DET,29,0.011019283746556474
DET,30,0.01928374655647383
DET,36,0.005509641873278237
DET,37,0.008264462809917356
DET,3,0.005509641873278237
DET,44,0.005509641873278237
DET,25,0.013774104683195593
DET,32,0.008264462809917356
DET,48,0.0027548209366391185
DET,45,0.008264462809917356
DET,49,0.0027548209366391185
DET,41,0.008264462809917356
DET,33,0.008264462809917356
DET,40,0.008264462809917356
DET,39,0.0027548209366391185
DET,11,0.0027548209366391185
NO,10,0.04132231404958678
NO,28,0.03581267217630854
NO,7,0.01652892561983471
NO,31,0.09090909090909091
NO,24,0.05785123966942149
NO,21,0.05234159779614325
NO,20,0.049586776859504134
NO,22,0.01652892561983471
NO,23,0.04132231404958678
NO,13,0.03856749311294766
NO,27,0.05509641873278237
NO,34,0.06060606060606061
NO,9,0.013774104683195593
NO,17,0.05509641873278237
NO,26,0.027548209366391185
NO,35,0.024793388429752067
NO,29,0.013774104683195593
NO,32,0.011019283746556474
NO,43,0.008264462809917356
NO,15,0.005509641873278237
NO,37,0.008264462809917356
NO,12,0.011019283746556474
NO,45,0.013774104683195593
NO,19,0.01928374655647383
NO,30,0.03581267217630854
NO,16,0.01928374655647383
NO,3,0.008264462809917356
NO,6,0.008264462809917356
NO,18,0.005509641873278237
NO,42,0.008264462809917356
NO,14,0.01928374655647383
NO,41,0.011019283746556474
NO,51,0.005509641873278237
NO,48,0.011019283746556474
NO,46,0.005509641873278237
NO,38,0.027548209366391185
NO,33,0.011019283746556474
NO,25,0.011019283746556474
NO,40,0.005509641873278237
NO,62,0.0027548209366391185
NO,49,0.008264462809917356
NO,44,0.0027548209366391185
NO,52,0.008264462809917356
NO,11,0.0027548209366391185
NO,47,0.0027548209366391185
NO,36,0.005509641873278237
NO,39,0.0027548209366391185
NO,0,0.0027548209366391185
NYG,21,0.06611570247933884
